1	-133390027.332400
2	-110887218.951777
3	-94739476.961339
4	-84261507.571730
5	-76099093.693997
6	-69950106.680004
7	-65208327.423166
8	-60957908.031298
9	-58788512.257871
10	-56579105.017191
11	-54849876.865842
12	-53312999.030317
13	-51979076.368837
14	-50615113.027282
15	-49824190.272370
16	-49017231.828279
17	-48320791.119114
18	-47733211.795744
19	-47212550.869338
20	-46640802.168536
21	-46277829.038017
22	-46005870.447746
23	-45740713.868851
24	-45423929.382081
25	-45125715.207559
26	-44820795.431399
27	-44469395.211050
28	-44224716.815229
29	-44069567.819862
30	-43890528.950222
31	-43719752.912643
32	-43559505.587283
33	-43334786.480371
34	-43185768.945821
35	-42846191.796463
36	-42667911.717169
37	-42487252.797235
38	-42181892.810179
39	-41982770.595953
40	-41620972.330879
41	-41362107.622963
42	-41129621.112232
43	-40929728.887550
44	-40480363.779161
45	-40226102.959946
46	-39891725.424365
47	-39541186.777806
48	-39211535.001018
49	-39005956.056439
50	-38719976.928388
51	-38443409.630066
52	-38264283.082268
53	-38022202.362441
54	-37852473.628342
55	-37692731.604761
56	-37536264.266501
57	-37371675.343873
58	-37228303.979068
59	-37059610.728658
60	-36904893.871378
61	-36773074.290171
62	-36671774.324992
63	-36362154.914235
64	-36178016.567329
65	-35956256.706352
66	-35845024.154883
67	-35683278.348249
68	-35495676.358754
69	-35237332.490188
70	-35021139.616770
71	-34827341.879092
72	-34592618.737394
73	-34478113.368909
74	-34357955.198181
75	-34277492.364309
76	-34214713.602926
77	-34063577.302169
78	-33903561.465072
79	-33776486.474705
80	-33614118.350685
81	-33431168.042163
82	-33253210.475116
83	-33154488.314945
84	-32939510.325222
85	-32812481.802054
86	-32633304.740195
87	-32514518.402898
88	-32426310.817229
89	-32307233.936578
90	-32230751.904632
91	-32139197.046176
92	-32042157.234860
93	-31985811.955762
94	-31891326.274505
95	-31813106.732808
96	-31770768.789290
97	-31695828.262706
98	-31632007.329112
99	-31595638.450033
100	-31542973.260075
101	-31474169.624032
102	-31416254.575821
103	-31371318.958385
104	-31354434.113086
105	-31336178.447326
106	-31319896.045236
107	-31304737.036825
108	-31291065.894543
109	-31279742.577035
110	-31266360.546438
111	-31252711.819626
112	-31241773.083302
113	-31232980.417977
114	-31224121.325427
115	-31212203.025785
116	-31202779.539356
117	-31191073.314571
118	-31181148.002496
119	-31173111.049254
120	-31165844.432569
121	-31158894.215009
122	-31153359.503292
123	-31145676.230311
124	-31138401.572176
125	-31131377.683005
126	-31124895.415873
127	-31119254.806536
128	-31111601.324814
129	-31106039.030875
130	-31100417.724651
131	-31094050.324760
132	-31088582.669788
133	-31081879.262777
134	-31075166.083237
135	-31069486.808290
136	-31065039.810782
137	-31060981.859343
138	-31056347.096530
139	-31051498.854682
140	-31047124.299051
141	-31043072.560309
142	-31038763.356193
143	-31033626.473549
144	-31028945.942729
145	-31024075.739120
146	-31020563.360625
147	-31015898.294515
148	-31011755.306502
149	-31005354.498250
150	-31001184.149304
151	-30997381.855340
152	-30993097.806855
153	-30989634.968986
154	-30984738.090620
155	-30981137.964030
156	-30977826.757801
157	-30973342.668127
