NEM	0.602	0.6012	0.5987	0.5987	0.5887	0.5813	0.5763	0.5697	0.5622	0.5506	0.5357	0.524	0.5207	0.5216	0.5207	0.5191	0.5191	0.5191	0.602
JEC	0.5381	0.5373	0.5357	0.534	0.5357	0.5299	0.529	0.5282	0.5257	0.5257	0.5199	0.5199	0.5191	0.5174	0.5149	0.5141	0.5141	0.5141	0.5381
AEE	0.5473	0.5473	0.5473	0.5464	0.5473	0.5464	0.5431	0.5448	0.5431	0.5398	0.5182	0.5174	0.5141	0.5141	0.5141	0.5141	0.5141	0.5141	0.5473
MUR	0.6061	0.6036	0.6028	0.5987	0.5954	0.5829	0.5763	0.573	0.573	0.5697	0.5323	0.5274	0.5158	0.5091	0.5066	0.5066	0.5075	0.5058	0.6061
F	0.631	0.6294	0.6302	0.626	0.6227	0.6153	0.6119	0.6045	0.5962	0.5945	0.5697	0.5564	0.5406	0.5381	0.5373	0.5373	0.529	0.5323	0.631
NKE	0.665	0.6658	0.665	0.6658	0.6509	0.6426	0.6393	0.6235	0.6186	0.6128	0.5755	0.558	0.5481	0.495	0.495	0.4942	0.4884	0.4859	0.6658
DVN	0.5995	0.602	0.6045	0.6045	0.592	0.5804	0.5771	0.5738	0.5688	0.5614	0.539	0.5299	0.5249	0.5191	0.5166	0.5166	0.5166	0.5091	0.6045
ATI	0.5448	0.5448	0.5448	0.5439	0.5415	0.5357	0.534	0.5315	0.5299	0.5282	0.5174	0.5124	0.5116	0.5083	0.5083	0.5083	0.5083	0.5083	0.5448
HOT	0.6153	0.6144	0.6144	0.6161	0.6095	0.5987	0.5937	0.5871	0.5813	0.5763	0.5489	0.5448	0.5415	0.5315	0.5282	0.5232	0.5141	0.5133	0.6161
CTL	0.5871	0.5862	0.5871	0.5862	0.5821	0.5796	0.5738	0.5721	0.5697	0.5663	0.5522	0.539	0.5381	0.5373	0.5357	0.5357	0.5365	0.5365	0.5871
TMO	0.5663	0.5655	0.5663	0.5655	0.5622	0.5572	0.5556	0.5522	0.5498	0.5473	0.539	0.5274	0.5224	0.5224	0.5174	0.5174	0.5174	0.5174	0.5663
NTAP	0.6207	0.6191	0.6174	0.6174	0.6075	0.5934	0.5859	0.5834	0.5793	0.5701	0.5436	0.5378	0.5328	0.5278	0.5286	0.5253	0.5187	0.5261	0.6207
NOC	0.6343	0.6343	0.6343	0.6376	0.6352	0.6177	0.6161	0.6111	0.6078	0.602	0.563	0.5514	0.5423	0.5307	0.524	0.5249	0.5249	0.5249	0.6376
TSO	0.7065	0.7073	0.704	0.6949	0.6808	0.6609	0.6559	0.6501	0.6426	0.6318	0.5929	0.5771	0.573	0.5672	0.5589	0.5564	0.5514	0.5522	0.7073
CAG	0.5929	0.5929	0.5929	0.5929	0.5896	0.5813	0.5771	0.573	0.5688	0.5672	0.5547	0.5456	0.5406	0.539	0.539	0.539	0.539	0.539	0.5929
ESRX	0.6232	0.6232	0.6224	0.6232	0.6116	0.6041	0.6017	0.5959	0.5925	0.5892	0.5535	0.5452	0.5419	0.5353	0.488	0.4838	0.4838	0.4871	0.6232
SNA	0.534	0.534	0.5348	0.5348	0.5348	0.5323	0.534	0.534	0.5332	0.5332	0.5232	0.5224	0.5224	0.5224	0.5224	0.5224	0.5224	0.5224	0.5348
LLTC	0.5635	0.561	0.5593	0.5568	0.5527	0.551	0.5494	0.5485	0.5469	0.5427	0.5303	0.517	0.5095	0.5145	0.5162	0.5112	0.5112	0.5112	0.5635
XLNX	0.5718	0.5726	0.5726	0.5726	0.571	0.5602	0.5577	0.5535	0.551	0.5477	0.5369	0.5237	0.5237	0.5237	0.5261	0.522	0.5212	0.5212	0.5726
GPS	0.6973	0.6949	0.6915	0.6924	0.6824	0.6675	0.6542	0.6434	0.6459	0.6443	0.5829	0.5614	0.5572	0.5564	0.5572	0.5506	0.5464	0.5373	0.6973
PCAR	0.5245	0.5245	0.5237	0.5237	0.5203	0.5187	0.5162	0.5137	0.5104	0.5087	0.4946	0.4963	0.4963	0.4963	0.4963	0.4963	0.4963	0.4963	0.5245
VNO	0.6036	0.6028	0.602	0.6028	0.5995	0.592	0.5904	0.5871	0.5796	0.568	0.5439	0.5373	0.5323	0.5274	0.5282	0.5282	0.5282	0.5282	0.6036
WYN	0.5514	0.5522	0.5522	0.5514	0.5498	0.5249	0.5224	0.5216	0.5166	0.5158	0.5066	0.5017	0.5033	0.4967	0.4967	0.4967	0.4967	0.4967	0.5522
RTN	0.5846	0.5837	0.5837	0.5829	0.5738	0.563	0.5564	0.5564	0.5531	0.5506	0.5348	0.529	0.5174	0.5174	0.5158	0.5166	0.5166	0.5166	0.5846
SPLS	0.5934	0.5934	0.5959	0.5975	0.5934	0.5917	0.5859	0.5834	0.5776	0.5751	0.5477	0.5378	0.5328	0.5278	0.5195	0.5203	0.517	0.5178	0.5975
