DHI	1206	0.501700	0.498300	0.837500
DHR	1206	0.480100	0.519900	0.829200
DISCA	1012	0.458500	0.541500	0.826100
DIS	1206	0.475100	0.524900	0.833300
DLTR	1012	0.477300	0.522700	0.816200
DNB	1018	0.455800	0.544200	0.821200
DNR	1012	0.488100	0.511900	0.830000
DO	1012	0.491100	0.508900	0.821100
DOV	1206	0.470100	0.529900	0.830800
DOW	1206	0.491700	0.508300	0.835800
DPS	1061	0.478800	0.521200	0.824700
DRI	1206	0.495900	0.504100	0.825000
DTE	1206	0.449400	0.550600	0.838300
DTV	1205	0.455600	0.544400	0.835700
D	1206	0.479300	0.520700	0.838300
DUK	1206	0.469300	0.530700	0.830000
DVA	1107	0.485100	0.514900	0.826600
DVN	1206	0.503300	0.496700	0.834200
EA	1012	0.489100	0.510900	0.845800
EBAY	1205	0.495400	0.504600	0.818300
ECL	1206	0.460200	0.539800	0.825900
ED	1206	0.480900	0.519100	0.830800
EFX	1206	0.481800	0.518200	0.843300
EIX	1206	0.482600	0.517400	0.835800
EL	1206	0.487600	0.512400	0.814300
EMC	1206	0.497500	0.502500	0.838300
EMN	1206	0.486700	0.513300	0.825000
EMR	1206	0.485100	0.514900	0.824200
EOG	1206	0.480100	0.519900	0.805100
EQR	1206	0.491700	0.508300	0.835800
EQT	1018	0.453800	0.546200	0.831000
ESRX	1205	0.490500	0.509500	0.819900
ESV	1206	0.495900	0.504100	0.846600
ETFC	1205	0.480500	0.519500	0.831500
ETN	1206	0.484200	0.515800	0.819200
ETR	1206	0.509100	0.490900	0.836700
EW	1012	0.474300	0.525700	0.833000
EXC	1206	0.510000	0.490000	0.829200
EXPD	1205	0.510400	0.489600	0.838200
EXPE	1205	0.484600	0.515400	0.821600
FAST	1074	0.463700	0.536300	0.820300
FCX	1206	0.498300	0.501700	0.844100
FDO	1206	0.482600	0.517400	0.849100
FDX	1206	0.487600	0.512400	0.829200
FE	1206	0.486700	0.513300	0.831700
FFIV	1012	0.493100	0.506900	0.828100
FHN	1206	0.481800	0.518200	0.814300
FIS	1206	0.467700	0.532300	0.822600
FISV	1205	0.455600	0.544400	0.832400
FITB	1205	0.479700	0.520300	0.835700
FLIR	1012	0.489100	0.510900	0.835000
FLR	1206	0.509100	0.490900	0.838300
FLS	1066	0.476500	0.523500	0.820800
FMC	1012	0.470400	0.529600	0.834000
FOSL	1012	0.471300	0.528700	0.826100
FRX	1206	0.469300	0.530700	0.830000
FSLR	1012	0.508900	0.491100	0.806300
FTI	1012	0.485200	0.514800	0.831000
FTR	1106	0.476500	0.523500	0.843600
F	1206	0.478400	0.521600	0.845800
GAS	1206	0.458500	0.541500	0.844100
GCI	1206	0.493400	0.506600	0.830000
GD	1206	0.497500	0.502500	0.828400
GE	1206	0.477600	0.522400	0.828400
GILD	1205	0.487100	0.512900	0.834000
GIS	1206	0.447800	0.552200	0.836700
GLW	1206	0.490000	0.510000	0.832500
GME	1206	0.476800	0.523200	0.826700
GNW	1206	0.483400	0.516600	0.838300
GOOG	1205	0.487100	0.512900	0.833200
GPC	1206	0.472600	0.527400	0.827500
GPS	1206	0.462700	0.537300	0.831700
GRMN	1012	0.469400	0.530600	0.820200
GS	1206	0.495900	0.504100	0.822600
GT	1206	0.491700	0.508300	0.830000
GWW	1206	0.466800	0.533200	0.819200
HAL	1206	0.487600	0.512400	0.841600
HAR	1206	0.505800	0.494200	0.824200
HAS	1206	0.483400	0.516600	0.828400
HBAN	1205	0.492100	0.507900	0.826600
HCBK	1205	0.483800	0.516200	0.834000
HCN	1012	0.450600	0.549400	0.831000
HCP	1182	0.459400	0.540600	0.817300
HD	1206	0.478400	0.521600	0.838300
HES	1206	0.491700	0.508300	0.819200
HIG	1206	0.494200	0.505800	0.840000
HNZ	1197	0.442800	0.557200	0.822900
HOG	1206	0.494200	0.505800	0.829200
HON	1206	0.489200	0.510800	0.844100
HOT	1206	0.486700	0.513300	0.831700
HPQ	1206	0.485100	0.514900	0.832500
HP	1012	0.479200	0.520800	0.834000
HRB	1206	0.473500	0.526500	0.840000
HRL	1012	0.427900	0.572100	0.838900
HRS	1075	0.470700	0.529300	0.824200
HSP	1206	0.490000	0.510000	0.843300
HST	1206	0.491700	0.508300	0.827500
HSY	1206	0.474300	0.525700	0.826700
HUM	1206	0.500000	0.500000	0.836700
IBM	1206	0.488400	0.511600	0.825900
ICE	1206	0.507500	0.492500	0.827500
IFF	1206	0.470100	0.529900	0.841600
IGT	1206	0.527400	0.472600	0.830000
INTC	1205	0.463100	0.536900	0.838200
INTU	1205	0.480500	0.519500	0.835700
IPG	1206	0.501700	0.498300	0.831700
IP	1206	0.480900	0.519100	0.826700
IRM	1012	0.488100	0.511900	0.836000
IR	1206	0.469300	0.530700	0.840000
ISRG	1140	0.502600	0.497400	0.821900
ITW	1206	0.484200	0.515800	0.841600
IVZ	1092	0.471600	0.528400	0.828800
